Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.10     0.10  6876348     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_find_before_node(unsigned long, unsigned int &, unsigned long) 
 14.00      0.17     0.07        1    70.00   487.72  solve(State &, int)
 13.00      0.23     0.07 45499047     0.00     0.00  legal(State &, signed char, signed char)
  6.00      0.27     0.03 12016439     0.00     0.00  __gnu_cxx::__aligned_buffer >::_M_ptr()
  6.00      0.29     0.03  6335956     0.00     0.00  State::hash() 
  6.00      0.33     0.03        6     5.00     5.35  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_rehash_aux(unsigned long, integral_constant)
  4.00      0.34     0.02  5140090     0.00     0.00  __detail::operator==(Node_iterator_base, false> &, Node_iterator_base, false> &)
  3.00      0.36     0.01  8538476     0.00     0.00  Node_iterator, false, false>::operator->() 
  2.00      0.37     0.01 12016439     0.00     0.00  __gnu_cxx::__aligned_buffer >::_M_addr()
  2.00      0.38     0.01  9945185     0.00     0.00  hash::operator()(unsigned int) 
  2.00      0.39     0.01  7417249     0.00     0.00  Hashtable_base, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Hashtable_traits >::_M_equals(unsigned int &, unsigned long, Hash_node_value, false> &) 
  2.00      0.40     0.01  7417249     0.00     0.00  Hashtable_base, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Hashtable_traits >::_S_equals(unsigned long, Hash_node_code_cache &)
  2.00      0.41     0.01  4559521     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::find(unsigned int &)
  2.00      0.42     0.01  1736259     0.00     0.00  void allocator_traits >::construct(allocator&, State*, State &)
  2.00      0.43     0.01  1736259     0.00     0.00  void destroy_at(State*)
  2.00      0.44     0.01   580567     0.00     0.00  Map_base, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits, true>::operator[](unsigned int &)
  1.00      0.45     0.01 10486086     0.00     0.00  Hash_node_value_base >::_M_valptr() 
  1.00      0.45     0.01 10486086     0.00     0.00  pair & forward &>(remove_reference &>::type&)
  1.00      0.46     0.01  9699612     0.00     0.00  Node_iterator, false, false>::_Node_iterator(Hash_node, false>*)
  1.00      0.46     0.01  9699612     0.00     0.00  Node_iterator_base, false>::_Node_iterator_base(Hash_node, false>*)
  1.00      0.47     0.01  1736259     0.00     0.00  _Deque_iterator::operator*() 
  1.00      0.47     0.01  1736259     0.00     0.00  void allocator_traits >::destroy(allocator&, State*)
  1.00      0.47     0.01   620743     0.00     0.00  outputH(unsigned int)
  1.00      0.48     0.01   580567     0.00     0.00  _Tuple_impl::_M_head(_Tuple_impl&)
  1.00      0.48     0.01   580567     0.00     0.00  unordered_map, equal_to, allocator > >::operator[](unsigned int &)
  1.00      0.49     0.01   372178     0.00     0.00  _Deque_iterator::_S_buffer_size()
  1.00      0.49     0.01   124018     0.00     0.00  deque >::_M_pop_front_aux()
  1.00      0.50     0.01                             State** __copy_move_backward::__copy_move_b(State* *, State* *, State**)
  0.00      0.50     0.00 12016439     0.00     0.00  Hash_node_value_base >::_M_valptr()
  0.00      0.50     0.00 10486086     0.00     0.00  __gnu_cxx::__aligned_buffer >::_M_ptr() 
  0.00      0.50     0.00 10486086     0.00     0.00  __gnu_cxx::__aligned_buffer >::_M_addr() 
  0.00      0.50     0.00 10486086     0.00     0.00  decltype ((get)((forward &>)({parm#1}))) Select1st::operator() &>(pair &) 
  0.00      0.50     0.00 10486086     0.00     0.00  Hash_node_value_base >::_M_v() 
  0.00      0.50     0.00 10486086     0.00     0.00  unsigned int & __pair_get::__const_get(pair &)
  0.00      0.50     0.00 10486086     0.00     0.00  tuple_element >::type & get(pair &)
  0.00      0.50     0.00  9945190     0.00     0.00  Mod_range_hashing::operator()(unsigned long, unsigned long) 
  0.00      0.50     0.00  9945185     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_M_hash_code(unsigned int &) 
  0.00      0.50     0.00  9945185     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_M_hash() 
  0.00      0.50     0.00  9945185     0.00     0.00  Hashtable_ebo_helper, true>::_M_cget() 
  0.00      0.50     0.00  7417249     0.00     0.00  Hashtable_base, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Hashtable_traits >::_M_eq() 
  0.00      0.50     0.00  7417249     0.00     0.00  Hashtable_ebo_helper, true>::_M_cget() 
  0.00      0.50     0.00  7417249     0.00     0.00  equal_to::operator()(unsigned int &, unsigned int &) 
  0.00      0.50     0.00  6876353     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_bucket_index(unsigned long) 
  0.00      0.50     0.00  6876353     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) 
  0.00      0.50     0.00  6876348     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_find_node(unsigned long, unsigned int &, unsigned long) 
  0.00      0.50     0.00  5350011     0.00     0.00  Hash_node, false>::_M_next() 
  0.00      0.50     0.00  4559522     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::end()
  0.00      0.50     0.00  4559522     0.00     0.00  unordered_map, equal_to, allocator > >::end()
  0.00      0.50     0.00  4559521     0.00     0.00  State::State(State &, signed char, signed char, signed char)
